                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94206,                 0.3634,                0.52953,                 4.2594,             0.00023738,             0.00023738,             0.00023738
                      2,                 1.0487,                0.35367,                0.50811,                 4.2716,             0.00047068,             0.00047068,             0.00047068
                      3,                 1.0972,                0.36275,                0.52109,                 4.2621,             0.00069926,             0.00069926,             0.00069926
                      4,                 1.1397,                0.35821,                0.51785,                 4.2599,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.125,                0.35237,                0.51071,                 4.2774,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1113,                0.37638,                0.51914,                 4.2496,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.0626,                0.35691,                0.51849,                 4.2647,             0.00067866,             0.00067866,             0.00067866
                      8,                  1.045,                0.34977,                0.52044,                 4.2757,             0.00067159,             0.00067159,             0.00067159
                      9,                  1.027,                0.37119,                0.52044,                  4.257,             0.00066452,             0.00066452,             0.00066452
                     10,                0.99006,                  0.366,                0.51914,                 4.2413,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0026,                0.35886,                0.51849,                 4.2553,             0.00065038,             0.00065038,             0.00065038
                     12,                0.95841,                0.37443,                0.53082,                 4.2489,             0.00064331,             0.00064331,             0.00064331
                     13,                0.94668,                0.36405,                 0.5159,                 4.2664,             0.00063625,             0.00063625,             0.00063625
                     14,                0.92817,                0.37249,                0.52433,                 4.2413,             0.00062918,             0.00062918,             0.00062918
                     15,                0.91247,                0.35432,                0.52109,                 4.2645,             0.00062211,             0.00062211,             0.00062211
                     16,                0.90098,                0.35107,                 0.5146,                 4.2705,             0.00061504,             0.00061504,             0.00061504
                     17,                0.87681,                0.36794,                0.51849,                 4.2552,             0.00060797,             0.00060797,             0.00060797
                     18,                0.89104,                0.36535,                0.52563,                 4.2507,              0.0006009,              0.0006009,              0.0006009
                     19,                0.85188,                0.38092,                 0.5172,                 4.2379,             0.00059383,             0.00059383,             0.00059383
                     20,                0.84431,                 0.3608,                0.52563,                 4.2605,             0.00058677,             0.00058677,             0.00058677
                     21,                0.81608,                0.37119,                0.52174,                 4.2552,              0.0005797,              0.0005797,              0.0005797
                     22,                0.81099,                 0.3621,                0.52304,                  4.254,             0.00057263,             0.00057263,             0.00057263
                     23,                0.77379,                0.37703,                0.53082,                 4.2464,             0.00056556,             0.00056556,             0.00056556
                     24,                0.80057,                0.36859,                0.52174,                 4.2451,             0.00055849,             0.00055849,             0.00055849
                     25,                0.78312,                 0.3634,                0.53212,                 4.2468,             0.00055142,             0.00055142,             0.00055142
                     26,                0.75326,                0.37703,                0.52758,                  4.242,             0.00054435,             0.00054435,             0.00054435
                     27,                0.73541,                0.37768,                0.52239,                 4.2427,             0.00053728,             0.00053728,             0.00053728
                     28,                0.74801,                0.36016,                 0.5133,                 4.2551,             0.00053022,             0.00053022,             0.00053022
                     29,                0.73912,                0.37703,                0.52628,                 4.2413,             0.00052315,             0.00052315,             0.00052315
                     30,                0.69676,                0.36989,                 0.5159,                 4.2537,             0.00051608,             0.00051608,             0.00051608
                     31,                0.72574,                0.36859,                0.52758,                 4.2442,             0.00050901,             0.00050901,             0.00050901
                     32,                0.71864,                0.36794,                0.51525,                 4.2412,             0.00050194,             0.00050194,             0.00050194
                     33,                0.69193,                0.36794,                0.51979,                 4.2534,             0.00049487,             0.00049487,             0.00049487
                     34,                0.67522,                0.38287,                0.51979,                  4.237,              0.0004878,              0.0004878,              0.0004878
                     35,                0.64744,                0.36405,                0.51979,                 4.2546,             0.00048074,             0.00048074,             0.00048074
                     36,                0.64984,                0.36665,                0.51785,                 4.2474,             0.00047367,             0.00047367,             0.00047367
                     37,                0.65855,                 0.3621,                0.51849,                 4.2531,              0.0004666,              0.0004666,              0.0004666
                     38,                0.65759,                0.36275,                0.52369,                 4.2422,             0.00045953,             0.00045953,             0.00045953
                     39,                0.65137,                0.37962,                0.51785,                 4.2409,             0.00045246,             0.00045246,             0.00045246
                     40,                0.60615,                0.37249,                0.52304,                  4.241,             0.00044539,             0.00044539,             0.00044539
                     41,                0.62268,                0.36535,                0.52369,                 4.2487,             0.00043832,             0.00043832,             0.00043832
                     42,                0.62566,                0.36794,                0.52174,                 4.2473,             0.00043126,             0.00043126,             0.00043126
                     43,                0.60904,                0.37184,                0.52044,                 4.2402,             0.00042419,             0.00042419,             0.00042419
                     44,                0.58181,                0.36989,                 0.5172,                 4.2439,             0.00041712,             0.00041712,             0.00041712
                     45,                0.58535,                0.37184,                0.51395,                 4.2428,             0.00041005,             0.00041005,             0.00041005
                     46,                0.57457,                0.37573,                0.52498,                  4.237,             0.00040298,             0.00040298,             0.00040298
                     47,                0.55325,                0.36859,                0.52498,                 4.2422,             0.00039591,             0.00039591,             0.00039591
                     48,                0.60199,                 0.3647,                0.51655,                 4.2459,             0.00038884,             0.00038884,             0.00038884
                     49,                0.54355,                0.36729,                0.52304,                  4.247,             0.00038178,             0.00038178,             0.00038178
                     50,                0.56868,                0.36859,                0.52369,                 4.2485,             0.00037471,             0.00037471,             0.00037471
                     51,                0.55951,                0.37054,                0.52498,                 4.2433,             0.00036764,             0.00036764,             0.00036764
                     52,                0.51597,                0.36794,                0.52433,                 4.2465,             0.00036057,             0.00036057,             0.00036057
                     53,                0.52875,                  0.366,                0.52369,                 4.2435,              0.0003535,              0.0003535,              0.0003535
                     54,                0.52142,                0.37249,                0.53018,                  4.238,             0.00034643,             0.00034643,             0.00034643
                     55,                0.53308,                0.36859,                0.52239,                  4.248,             0.00033936,             0.00033936,             0.00033936
                     56,                0.50714,                0.38222,                0.52369,                 4.2382,              0.0003323,              0.0003323,              0.0003323
                     57,                 0.5509,                0.37249,                0.52044,                  4.242,             0.00032523,             0.00032523,             0.00032523
                     58,                0.64442,                0.37184,                0.51979,                 4.2375,             0.00031816,             0.00031816,             0.00031816
                     59,                0.58729,                0.36859,                 0.5172,                 4.2457,             0.00031109,             0.00031109,             0.00031109
                     60,                0.57912,                0.37119,                 0.5172,                 4.2402,             0.00030402,             0.00030402,             0.00030402
                     61,                0.55862,                0.36924,                0.52044,                 4.2379,             0.00029695,             0.00029695,             0.00029695
                     62,                0.55004,                0.36989,                 0.5159,                 4.2405,             0.00028988,             0.00028988,             0.00028988
                     63,                0.55456,                0.37508,                0.51785,                  4.233,             0.00028282,             0.00028282,             0.00028282
                     64,                0.53652,                0.37638,                0.51655,                 4.2385,             0.00027575,             0.00027575,             0.00027575
